person,personid,relative,rel_id,status,distance_birth,distance_nuclear,family
A.M. Hendropriyono,Q4666027,Andika Perkasa,Q18421241,child-in-law,2,2,T
Abdoel Moeis,Q1401053,Soedjana Sapi'ie,Q17411273,child-in-law,2,2,T
Achmad Tahir,Q12470654,Agum Gumelar,Q4694586,child-in-law,2,2,T
Agum Gumelar,Q4694586,Ladya Cheryl,Q16172449,child-in-law,2,2,T
Agum Gumelar,Q4694586,Taufik Hidayat,Q660145,child-in-law,2,2,T
Amien Rais,Q2202270,Ridho Rahmadi,Q107061358,child-in-law,2,2,T
Amien Rais,Q2202270,Rangga Almahendra,Q61118830,child-in-law,2,2,T
Aulia Pohan,Q7807015,Agus Harimurti Yudhoyono,Q7805962,child-in-law,2,2,T
Chairul Tanjung,Q5068119,Guinandra Jatikusumo,Q117014649,child-in-law,2,2,T
Fahmi Idris,Q5429568,Poempida Hidayatulloh,Q12505908,child-in-law,2,2,T
Ferdinand Lumban Tobing,Q11188587,Jonathan Ompu Tording Sitohang,Q112933079,child-in-law,2,2,T
Hari Sabarno,Q12485293,Virnie Ismail,Q11317184,child-in-law,2,2,T
Hary Tanoesoedibjo,Q12485373,Kevin Sanjaya Sukamuljo,Q15229725,child-in-law,2,2,T
Hasan Basri Durin,Q12485387,Asnawi Bahar,Q16168725,child-in-law,2,2,T
Hatta Rajasa,Q4201732,Edhie Baskoro Yudhoyono,Q7806029,child-in-law,2,2,T
Hermanto Dardak,Q12485601,Arumi Bachsin,Q12472561,child-in-law,2,2,T
Iriana,Q17410605,Erina Sofia Gudono,Q115677770,child-in-law,2,2,T
Iriana,Q17410605,Bobby Nasution,Q54200649,child-in-law,2,2,T
Iskandar Tedjasukmana,Q97373847,Masjchun Sofwan,Q12497248,child-in-law,2,2,T
Joko Widodo,Q3318231,Bobby Nasution,Q54200649,child-in-law,2,2,T
Laksamana Sukardi,Q12493537,Moreno Soeprapto,Q1279930,child-in-law,2,2,T
Liliana Tanoesoedibjo,Q15272197,Kevin Sanjaya Sukamuljo,Q15229725,child-in-law,2,2,T
Linda Amalia Sari,Q12494918,Taufik Hidayat,Q660145,child-in-law,2,2,T
Luhut Binsar Panjaitan,Q14917375,Maruli Simanjuntak,Q19728927,child-in-law,2,2,T
Muhammad Mangundiprojo,Q19729468,Soesilo Soedarman,Q12515785,child-in-law,2,2,T
Oemar Said Tjokroaminoto,Q2603591,Soekarno,Q76127,child-in-law,2,2,T
S.H. Simatupang,Q99237618,Luhut Binsar Panjaitan,Q14917375,child-in-law,2,2,T
Sarwo Edhie Wibowo,Q7424827,Erwin Sudjono,Q16176328,child-in-law,2,2,T
Sarwo Edhie Wibowo,Q7424827,Hadi Utomo,Q16179383,child-in-law,2,2,T
Sarwo Edhie Wibowo,Q7424827,Susilo Bambang Yudhoyono,Q57405,child-in-law,2,2,T
Soeharto Sastrosoeyoso,Q61118630,Mimi Mariani,Q114834397,child-in-law,2,2,T
Soekardi,Q105427014,Theo L. Sambuaga,Q17411225,child-in-law,2,2,T
Sugandhi Kartosubroto,Q85909299,Soeyono,Q18421428,child-in-law,2,2,T
Susilo Bambang Yudhoyono,Q57405,Annisa Pohan,Q7806784,child-in-law,2,2,T
Tetty Liz Indriati,Q12521117,Ananda Mikola,Q485781,child-in-law,2,2,T
Tjahjo Kumolo,Q12521725,Detri Warmanto,Q12481358,child-in-law,2,2,T
