person,personid,party_id,party
Abikusno Tjokrosujoso,Q4667741,Q4200848,Indonesian Sarikat Islam Party
Djody Gondokusumo,Q109430802,Q4314852,National People's Party
Guruh Soekarnoputra,Q4264069,Q2084109,Indonesia Democratic Party (PDI)
Guruh Soekarnoputra,Q4264069,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Iskak Tjokroadisurjo,Q56392413,Q1965221,Indonesian National Party (PNI)
Joko Widodo,Q3318231,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Lie Kiat Teng,Q12494804,Q4200848,Indonesian Sarikat Islam Party
Ma'ruf Amin,Q12497177,F1,Independent
Masjkur,Q12497345,Q686441,Nahdlatul Ulama
Megawati Soekarnoputri,Q76179,Q2084109,Indonesia Democratic Party (PDI)
Megawati Soekarnoputri,Q76179,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Mohammad Hatta,Q29050,F1,Independent
Mohammad Yamin,Q3503054,Q19730387,Indonesian Party
Mohammad Yamin,Q3503054,Q110413286,Indonesian People's Movement
R. Sunarjo,Q85993732,Q2669302,United Development Party (PPP)
Rachmawati Soekarnoputri,Q12507600,Q7196857,Pioneers' Party
Rachmawati Soekarnoputri,Q12507600,Q4207219,NasDem Party
Rachmawati Soekarnoputri,Q12507600,Q4261459,Gerindra Party
Soedibjo,Q17411444,Q4200848,Indonesian Sarikat Islam Party
Soekarno,Q76127,Q1965221,Indonesian National Party (PNI)
Sukmawati Soekarnoputri,Q12517042,Q4261536,Indonesian National Marhaenist Party
Sunario Sastrowardoyo,Q4446092,Q1965221,Indonesian National Party (PNI)
Sutan Muchtar Abidin,Q12518231,Q116299110,Labor Party (1998)
Dahlan Ibrahim,Q12480685,Q12503305,Indonesian Independence Supporters Movement Party
Eny Karim,Q16044649,Q1965221,Indonesian National Party (PNI)
Handrianus Sinaga,Q28723855,Q4200847,Indonesian Christian Party (Parkindo)
Idham Chalid,Q6854752,Q2579297,Masyumi Party
Idham Chalid,Q6854752,Q686441,Nahdlatul Ulama
Idham Chalid,Q6854752,Q2669302,United Development Party (PPP)
Jusuf Wibisono,Q6854709,Q2579297,Masyumi Party
Moeljatno,Q6890147,Q2579297,Masyumi Party
Rusli Abdul Wahid,Q12509202,Q12505151,Tarbiyah Islamiyah Union
Rusli Abdul Wahid,Q12509202,Q2669302,United Development Party (PPP)
AA Maramis,Q12682432,Q1965221,Indonesian National Party (PNI)
Amir Sjarifuddin,Q1810083,Q204699,Indonesian Socialist Party (PSI)
Anwaruddin,Q4778076,Q4200848,Indonesian Sarikat Islam Party
IJ Kasimo,Q13534328,Q5053222,Indonesia Catholic Party
J. Leimena,Q2642883,Q4200847,Indonesian Christian Party (Parkindo)
SK Trimurti,Q7387595,Q19730387,Indonesian Party
SK Trimurti,Q7387595,Q4203019,Indonesia Labor Party
Sjahbudin Latif,Q12515622,Q4200848,Indonesian Sarikat Islam Party
Susanto Tirtoprodjo,Q6723714,Q1965221,Indonesian National Party (PNI)
Susanto Tirtoprodjo,Q6723714,Q12503307,Great Indonesia Party
Wikana,Q19944523,Q157744,Indonesian Communist Party (PKI)
Wilopo,Q2091244,Q1965221,Indonesian National Party (PNI)
Anwar Tjokroaminoto,Q84836232,Q4200848,Indonesian Sarikat Islam Party
R. Syamsudin,Q17410975,Q12503307,Great Indonesia Party
R. Syamsudin,Q17410975,Q2579297,Masyumi Party
Adam Malik,Q76297,Q4260843,Murba Party
Adam Malik,Q76297,Q1536552,Golkar Party
Albert Mangaratua Tambunan,Q24284585,Q4200847,Indonesian Christian Party (Parkindo)
Frans Seda,Q981547,Q2084109,Indonesia Democratic Party (PDI)
Frans Seda,Q981547,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
G.A. Siwabessy,Q5511990,F1,Independent
Saifuddin Zuhri,Q14404735,Q2669302,United Development Party (PPP)
Sanusi Hardjadinata,Q12512111,Q1965221,Indonesian National Party (PNI)
Sanusi Hardjadinata,Q12512111,Q2084109,Indonesia Democratic Party (PDI)
Soeharto,Q44819,Q1536552,Golkar Party
Bambang Trihatmodjo,Q12473900,Q1536552,Golkar Party
Bambang Trihatmodjo,Q12473900,Q31173603,Beringin Karya Party
Hutomo Mandala Putra,Q3177695,Q56393560,Indonesian People's Voice Party
Muhammad Dahlan,Q12499346,Q686441,Nahdlatul Ulama
Sigit Harjojudanto,Q12514651,Q31173603,Beringin Karya Party
Siti Hardijanti Rukmana,Q7531876,Q1536552,Golkar Party
Siti Hardijanti Rukmana,Q7531876,Q5158454,Karya Peduli Bangsa Party
Siti Hardijanti Rukmana,Q7531876,Q31173603,Berkarya Party
Siti Hediati Hariyadi,Q12515517,Q4261459,Gerindra Party
Siti Hutami Endang Adiningsih,Q20278519,Q31173603,Beringin Karya Party
