person,personid,position_id,start,end,position,type,country
Abikusno Tjokrosujoso,Q4667741,Q12479879,1945,1945,Minister of Transportation,Executive,Indonesia
Adnan Kapau Gani,Q4264085,Q12479879,1954,1955,Minister of Transportation,Executive,Indonesia
Roosseno Soerjohadikoesoemo,Q12508921,Q12479879,1953,1954,Minister of Transportation,Executive,Indonesia
Djuanda Kartawidjaja,Q2670453,Q12479879,1946,1949,Minister of Transportation,Executive,Indonesia
Herling Laoh,Q6696761,Q12479879,1949,1949,Minister of Transportation,Executive,Indonesia
Frans Seda,Q981547,Q12479879,1968,1973,Minister of Transportation,Executive,Indonesia
Rusmin Nurjadin,Q12508816,Q12479879,1978,1988,Minister of Transportation,Executive,Indonesia
Sutopo,Q12518244,Q12479879,1966,1968,Minister of Transportation,Executive,Indonesia
Frits Laoh,Q19746108,Q12479879,1955,1956,Minister of Transportation,Executive,Indonesia
Mohammad Nazir,Q12498767,Q12479879,1957,1959,Minister of Transportation,Executive,Indonesia
Partono,Q97811517,Q12479879,1965,1966,Minister of Transportation,Executive,Indonesia
Soerjadi Soerjadarma,Q4843380,Q12479879,1966,1966,Minister of Transportation,Executive,Indonesia
Agum Gumelar,Q4694586,Q12479879,1999,2001,Minister of Transportation,Executive,Indonesia
Hatta Rajasa,Q4201732,Q12479879,2004,2007,Minister of Transportation,Executive,Indonesia
Bambang Susantono,Q12473898,Q12479879,2014,2014,Minister of Transportation,Executive,Indonesia
E.E. Mangindaan,Q13092889,Q12479879,2011,2014,Minister of Transportation,Executive,Indonesia
Freddy Numberi,Q4200601,Q12479879,2009,2011,Minister of Transportation,Executive,Indonesia
Jusman Syafii Djamal,Q4264908,Q12479879,2007,2009,Minister of Transportation,Executive,Indonesia
Budi Karya Sumadi,Q28723650,Q12479879,2016,0,Minister of Transportation,Executive,Indonesia
Ignasius Jonan,Q16182287,Q12479879,2014,2016,Minister of Transportation,Executive,Indonesia
Djatikoesoemo,Q11201468,Q12479879,1959,1963,Minister of Transportation,Executive,Indonesia
Djatikoesoemo,Q11201468,Q12479879,1959,1963,Minister of Transportation,Executive,Indonesia
Emil Salim,Q4187311,Q12479879,1973,1978,Minister of Transportation,Executive,Indonesia
Azwar Anas,Q4833142,Q12479879,1988,1993,Minister of Transportation,Executive,Indonesia
Haryanto Dhanutirto,Q12485374,Q12479879,1993,1998,Minister of Transportation,Executive,Indonesia
Giri Suseno Hadihardjono,Q12484144,Q12479879,1998,1998,Minister of Transportation,Executive,Indonesia
